Name,Fide ID,Nascimento,Place of Birth,Death,Date they became Grandmaster,Federation,Sexo,Age they became Grandmaster
"Simutowe, Amon",8700168.0,1982-01-06 00:00:00,Ndola,,2009,Zambia,M,27.0
"Sindarov, Javokhir",14205483.0,2005-12-08 00:00:00,Tashkent,,2019,Uzbekistan,M,14.0
"Sisniega Campbell, Marcel",5100020.0,1959-07-28 00:00:00,Cuernavaca,2013-01-19 00:00:00,1992,Mexico,M,33.0
"Sivuk, Vitaly",14116502.0,1992-01-01 00:00:00,,,2014,Ukraine,M,22.0
"Sjugirov, Sanan",4189302.0,1993-01-31 00:00:00,Elista,,2008,Russia,M,15.0
"Skatchkov, Pavel",4121848.0,1979-09-14 00:00:00,Togliatti,,2007,Russia,M,28.0
"Skembris, Spyridon",4200020.0,1958-02-22 00:00:00,"Mandouki, Corfu",,1990,Greece,M,32.0
"Škoberne, Jure",14604299.0,1987-03-20 00:00:00,Šempeter pri Gorici,,2010,Slovakia,M,23.0
"Skorchenko, Dmitriy",4131029.0,1983-10-17 00:00:00,Pyatigorsk,,2007,Russia,M,24.0
"Slipak, Sergio",100250.0,1965-07-28 00:00:00,Buenos Aires,,2001,Argentina,M,36.0
"Śliwa, Bogdan",1102290.0,1922-02-04 00:00:00,Wieliczka,2003-05-16 00:00:00,1987,Poland,M,65.0
"Slobodjan, Roman",4617347.0,1975-01-01 00:00:00,Potsdam,,1996,Germany,M,21.0
"Smagin, Sergey",4100425.0,1958-09-08 00:00:00,Norilsk,,1987,Soviet Union • Russia,M,29.0
"Smeets, Jan",1007246.0,1985-04-05 00:00:00,Leiden,,2004,Netherlands,M,19.0
"Smejkal, Jan",300020.0,1946-03-22 00:00:00,Lanškroun,,1972,Czechoslovakia,M,26.0
"Smerdon, David",3202305.0,1984-09-17 00:00:00,Brisbane,,2009,Australia,M,25.0
"Smirin, Ilya",2801990.0,1968-01-21 00:00:00,Vitebsk,,1990,Soviet Union • Belarus • Israel,M,22.0
"Smirnov, Anton",3208923.0,2001-01-28 00:00:00,Canberra,,2017,Australia,M,16.0
"Smirnov, Igor",14110482.0,1987-10-28 00:00:00,Sevastapol,,2008,Ukraine,M,21.0
"Smirnov, Pavel",4123425.0,1982-04-27 00:00:00,Mezhdurechensk,,2003,Russia,M,21.0
"Smith, Axel",1707930.0,1986-06-27 00:00:00,Ystad,,2016,Sweden,M,30.0
"Smith, Bryan",2017083.0,1980-02-26 00:00:00,California,,2013,United States,M,33.0
"Smyslov, Vasily",4100310.0,1921-03-24 00:00:00,Moscow,2010-03-27 00:00:00,1950,Russia,M,29.0
"So, Wesley",5202213.0,1993-10-09 00:00:00,Bacoor,,2007,United States,M,14.0
"Soćko, Bartosz",1107038.0,1978-11-10 00:00:00,Piaseczno,,1999,Poland,M,21.0
"Soćko, Monika",1106619.0,1978-03-24 00:00:00,Warsaw,,2008,Poland,F,30.0
"Soffer, Ram",2800101.0,1965-09-06 00:00:00,,,1994,Israel,M,29.0
"Sokolov, Andrei",627089.0,1963-03-20 00:00:00,Vorkuta,,1984,Soviet Union • France,M,21.0
"Sokolov, Ivan",14400030.0,1968-06-13 00:00:00,Jajce,,1987,Yugoslavia • Bosnia and Herzegovina • Netherlands,M,19.0
"Šolak, Dragan",916811.0,1980-03-30 00:00:00,Vrbas,,2001,Turkey,M,21.0
"Solleveld, Maarten",1005286.0,1979-02-05 00:00:00,Amsterdam,,2012,Netherlands,M,33.0
"Solodovnichenko, Yuri",14104369.0,1978-02-08 00:00:00,Kherson,,2007,Ukraine,M,29.0
"Solomon, Kenny",14300192.0,1979-10-08 00:00:00,,,2015,South Africa,M,36.0
"Solozhenkin, Evgeniy",4102266.0,1966-07-31 00:00:00,Leningrad,,1993,Russia,M,27.0
"Soltis, Andrew",2000741.0,1947-05-28 00:00:00,"Hazleton, Pennsylvania",,1980,United States,M,33.0
"Sorín, Ariel",100196.0,1967-04-26 00:00:00,Buenos Aires,,1995,Argentina,M,28.0
